Text,Label
He shouts at me constantly and threatens to hurt me.,1
I feel scared when he gets angry.,1
He never allows me to go out and controls everything I do.,1
We have disagreements but I feel safe at home.,0
Sometimes he raises his voice but apologizes later.,0
I feel comfortable sharing my opinions with my partner.,0
He has hit me several times and I am afraid.,1
He constantly checks my phone and messages.,1
We discuss problems calmly and respect each other’s boundaries.,0
He forces me to do things I don’t want to do.,1
"Whenever I disagree, he insults me.",1
He threatens to take away the children.,1
I feel anxious around him.,1
He respects my personal space and decisions.,0
I enjoy spending time with my partner.,0
He humiliates me in front of friends.,1
He monitors my social media accounts.,1
My partner listens and supports me.,0
He pushes me or slaps me during arguments.,1
We have a healthy relationship and communicate openly.,0
He locks me in the house when I try to leave.,1
My partner encourages me to pursue hobbies.,0
He uses intimidation to control me.,1
We share responsibilities and respect boundaries.,0
He insults me frequently and makes me feel worthless.,1
My partner is kind and considerate.,0
He pressures me to do things I’m uncomfortable with.,1
I feel safe and supported in the relationship.,0
He threatens to harm me or my pets.,1
We resolve conflicts calmly without threats.,0
He forces me to spend money on him.,1
My partner respects my opinions and choices.,0
"He yells, slaps, and belittles me.",1
I feel happy and respected at home.,0
He controls who I meet and where I go.,1
My partner values my privacy.,0
He constantly accuses me of lying.,1
We share responsibilities and communicate openly.,0
He forces me to quit my job.,1
My partner encourages me to maintain friendships.,0
He has pushed me down the stairs.,1
We have disagreements but solve them respectfully.,0
He threatens to reveal my secrets.,1
My partner supports me emotionally.,0
He ignores my needs and feelings.,1
I feel loved and respected.,0
He prevents me from contacting my family.,1
We celebrate special occasions together happily.,0
He tries to isolate me from friends.,1
My partner trusts me and communicates honestly.,0
He has broken my belongings in anger.,1
I feel confident expressing myself.,0
He controls my finances.,1
My partner listens when I’m upset.,0
He mocks me and calls me names.,1
I feel safe when I’m with my partner.,0
He has threatened to kill me.,1
We share decisions and responsibilities equally.,0
He pressures me into unwanted activities.,1
My partner helps me in difficult times.,0
"He yells, screams, and intimidates me.",1
I feel emotionally secure.,0
He hits me when he’s angry.,1
My partner respects my boundaries.,0
He follows me around and spies on me.,1
I can rely on my partner for support.,0
He threatens to leave me if I disagree.,1
My partner communicates kindly.,0
He has pushed me against walls.,1
I feel appreciated in the relationship.,0
He manipulates me emotionally.,1
My partner encourages my independence.,0
He has punched me in the past.,1
I feel respected and loved.,0
He controls my phone and messages.,1
My partner allows me freedom.,0
He insults my family and friends.,1
I feel valued and supported.,0
He has slapped me in public.,1
My partner listens and understands me.,0
He forces me to give up hobbies.,1
I feel safe expressing my opinions.,0
He threatens to harm my pets.,1
My partner respects my personal space.,0
He shouts and curses at me constantly.,1
I feel happy and respected.,0
He has thrown objects at me.,1
My partner communicates calmly.,0
He isolates me from family.,1
We share responsibilities fairly.,0
He has threatened me with weapons.,1
I feel emotionally secure.,0
He manipulates and gaslights me.,1
My partner trusts me completely.,0
He pushes me physically.,1
We have a healthy relationship.,0
He constantly monitors me.,1
I feel free and independent.,0
He intimidates and threatens.,1
My partner respects my opinions.,0
He forces me to act against my will.,1
I feel supported and loved.,0
He has hit me multiple times.,1
My partner communicates openly.,0
He uses threats to control me.,1
I feel safe at home.,0
